Side length; Squares amount; Total time Simple; Total time Complex;  Steps amount Simple; Steps amount Complex; Time/step Simple; Time/step Complex; Complexity Simple; Complexity Complex
100;10000;0.0009;0.0087;15000;511675;6e-08;1.70184e-08;10000;132877;
100;20000;0.0015;0.0192;30000;1111790;5e-08;1.72752e-08;20000;285754;
100;30000;0.0029;0.0292;45000;1698490;6.44444e-08;1.72006e-08;30000;446180;
100;40000;0.0036;0.0422;60000;2352095;6e-08;1.79308e-08;40000;611508;
100;50000;0.0041;0.0522;75000;2888526;5.46667e-08;1.807e-08;50000;780482;
100;60000;0.0053;0.0594;90000;3535095;5.88889e-08;1.68242e-08;60000;952360;
100;70000;0.0061;0.0694;105000;4081522;5.80952e-08;1.70057e-08;70000;1.12665e+06;
100;80000;0.0068;0.0786;120000;4811494;5.66667e-08;1.63541e-08;80000;1.30302e+06;
100;90000;0.0076;0.0906;135000;5360885;5.62963e-08;1.69041e-08;90000;1.48119e+06;
100;100000;0.0079;0.1005;150000;6032989;5.26667e-08;1.66671e-08;100000;1.66096e+06;
